iter	Passed	Remaining
0	1	1851
1	3	1947
2	5	1874
3	7	1909
4	9	1859
5	10	1814
6	12	1787
7	14	1755
8	16	1780
9	17	1778
10	19	1769
11	21	1752
12	22	1741
13	24	1745
14	26	1737
15	28	1731
16	29	1727
17	31	1744
18	33	1744
19	35	1744
20	37	1735
21	38	1729
22	40	1738
23	42	1736
24	44	1734
25	46	1729
26	47	1725
27	49	1731
28	51	1725
29	53	1719
30	54	1714
31	56	1710
32	58	1715
33	60	1712
34	61	1705
35	63	1701
36	65	1700
37	67	1697
38	68	1694
39	70	1689
40	72	1688
41	74	1690
42	76	1694
43	77	1691
44	79	1686
45	81	1693
46	83	1690
47	85	1686
48	86	1682
49	88	1678
50	90	1687
51	92	1690
52	94	1686
53	96	1683
54	97	1683
55	99	1683
56	101	1680
57	103	1676
58	104	1673
59	106	1668
60	108	1666
61	110	1665
62	111	1662
63	114	1667
64	115	1666
65	117	1666
66	119	1662
67	121	1658
68	123	1661
69	124	1658
70	126	1654
71	128	1651
72	129	1649
73	131	1650
74	133	1646
75	135	1643
76	136	1640
77	139	1643
78	140	1639
79	142	1637
80	144	1633
81	145	1630
82	147	1630
83	149	1628
84	151	1625
85	152	1622
86	154	1619
87	156	1620
88	158	1619
89	159	1616
90	161	1613
91	164	1618
92	165	1616
93	167	1614
94	169	1610
95	170	1609
96	172	1610
97	174	1607
98	176	1604
99	177	1601
100	179	1602
101	181	1600
102	183	1597
103	185	1597
104	187	1597
105	189	1598
106	191	1596
107	192	1593
108	194	1590
109	197	1593
110	198	1591
111	200	1589
112	202	1587
113	204	1587
114	206	1586
115	207	1583
116	209	1580
117	211	1577
118	213	1577
119	214	1574
120	217	1577
121	218	1574
122	220	1575
123	222	1574
124	224	1571
125	226	1568
126	227	1566
127	229	1565
128	231	1562
129	233	1559
130	234	1557
131	236	1554
132	239	1558
133	243	1575
134	247	1584
135	250	1591
136	257	1622
137	261	1632
138	265	1646
139	269	1655
140	273	1669
141	279	1687
142	284	1704
143	287	1707
144	290	1710
145	295	1730
146	301	1748
147	305	1758
148	307	1758
149	313	1774
150	315	1775
151	319	1780
152	320	1776
153	322	1773
154	324	1769
155	326	1767
156	329	1769
157	331	1766
158	334	1771
159	338	1776
160	341	1779
161	345	1786
162	347	1783
163	349	1779
164	351	1778
165	353	1776
166	355	1773
167	357	1769
168	359	1766
169	361	1766
170	363	1763
171	366	1764
172	368	1763
173	370	1760
174	372	1757
175	374	1755
176	376	1751
177	378	1748
178	380	1744
179	382	1740
180	383	1737
181	385	1734
182	387	1730
183	389	1727
184	390	1721
185	392	1718
186	394	1715
187	396	1711
188	397	1707
189	399	1703
190	402	1702
191	403	1699
192	405	1695
193	407	1692
194	409	1689
195	411	1686
196	412	1682
197	414	1679
198	416	1678
199	418	1675
200	420	1672
201	422	1668
202	424	1666
203	426	1664
204	428	1662
205	430	1659
206	433	1659
207	435	1656
208	436	1653
209	438	1650
210	440	1648
211	443	1646
212	444	1643
213	446	1639
214	449	1639
215	451	1637
216	453	1634
217	454	1631
218	456	1628
219	458	1625
220	460	1622
221	461	1619
222	463	1615
223	465	1613
224	467	1610
225	469	1606
226	470	1603
227	472	1600
228	474	1597
229	476	1594
230	477	1590
231	479	1586
232	481	1583
233	482	1580
234	484	1577
235	486	1573
236	487	1570
237	489	1567
238	491	1564
239	492	1560
240	494	1557
241	495	1553
242	497	1550
243	499	1547
244	500	1543
245	502	1540
246	504	1537
